net population drift by size — where it crosses zero is the equilibrium

   n   visits   P(grow)  P(shrink)     drift   bar
   2     4368    0.0023     0.0000   +0.0023   0
   3      142    0.0211     0.0493   -0.0282   --------
   4      181    0.0829     0.0552   +0.0276   ++++++++
   5       34    0.0882     0.2647   -0.1765   ----------------------------------------
   6       66    0.0758     0.0909   -0.0152   ----
  27       24    0.9167     0.0417   +0.8750   ++++++++++++++++++++++++++++++++++++++++
  28       39    0.7949     0.0769   +0.7179   ++++++++++++++++++++++++++++++++++++++++
  29       92    0.7609     0.1413   +0.6196   ++++++++++++++++++++++++++++++++++++++++
  30      238    0.7647     0.0966   +0.6681   ++++++++++++++++++++++++++++++++++++++++
  31      553    0.6239     0.1465   +0.4774   ++++++++++++++++++++++++++++++++++++++++
  32     1361    0.0000     0.3314   -0.3314   ----------------------------------------
