is tension carried by LINEAGE?  (populations of >=16, after step 600)

 depth    cells  mean tension   bar
     0     1200      0.006454   ####################
     1    14849      0.020321   ##############################################################
     2    19463      0.023350   ########################################################################
     3     1491      0.031800   ##################################################################################################

 age/100    cells  mean tension   bar
       0    23807      0.023556   ####################
       1     6195      0.022862   ###################
       2     2674      0.018955   ################
       3     1585      0.018955   ################
       4      904      0.013798   ###########
       5      499      0.012722   ##########
       6      339      0.009139   #######
       7      200      0.006904   #####
       8      200      0.007460   ######
       9      600      0.005702   ####
